Bug 1,Bug 2,Carbon,1 on 2: Effect,2 on 1: Effect,monoGrow_x,metDis,monoGrow_y,monoGrow24_x,monoGrow24_y,carbon_component_0,carbon_component_1,carbon_component_2,carbon_component_3,phy_strain_component_0_x,phy_strain_component_1_x,phy_strain_component_0_y,phy_strain_component_1_y
PH,EL,Acetate,-0.227776699,-0.130127935,0.050227415,0.626557212,-0.180209567,-0.279961417,-0.919043173,-2.580535726,0.565009442,0.457130669,-0.212694531,1.675692322,0.010778575,-0.734730655,-0.044093938
PP,EL,Acetate,-0.045085108,-0.413984603,0.397380868,0.403181459,-0.180209567,0.039141285,-0.919043173,-2.580535726,0.565009442,0.457130669,-0.212694531,1.708237337,0.022892351,-0.734730655,-0.044093938
PAg2,KA,Acetate,0.424921665,0.729380446,-0.968978489,0.125785385,-0.842863564,-0.686779466,-0.781634643,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.630904166,-0.20157447,-0.761258362,0.059888798
PAg1,KA,Acetate,-0.12856602,0,-1.02095852,0.113497807,-0.842863564,-0.727022587,-0.781634643,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.644315471,-0.222011822,-0.761258362,0.059888798
PAg3,KA,Acetate,0.046058952,0,-0.995724524,0.11063744,-0.842863564,-0.851973435,-0.781634643,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.598951558,-0.248461055,-0.761258362,0.059888798
LA,KA,Acetate,-0.269008907,-1.467645187,-0.833409316,0.105549947,-0.842863564,-0.940965667,-0.781634643,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.771000309,0.077075392,-0.761258362,0.059888798
RP2,KA,Acetate,-0.231968724,-0.615818974,-0.364223032,0.093897828,-0.842863564,-0.947123812,-0.781634643,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.792851826,0.117358038,-0.761258362,0.059888798
RP1,KA,Acetate,0.555516251,-0.026536683,-0.161343665,0.078028515,-0.842863564,-0.960912492,-0.781634643,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.796280534,0.113226274,-0.761258362,0.059888798
SF1,KA,Acetate,0.629024317,0.500869207,-0.832443111,0.141154818,-0.842863564,-0.835507145,-0.781634643,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.735447249,0.247141093,-0.761258362,0.059888798
KA,KA,Acetate,-0.23275809,-0.23275809,-0.842863564,0,-0.842863564,-0.781634643,-0.781634643,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.761258362,0.059888798,-0.761258362,0.059888798
PK,KA,Acetate,-0.265247615,-0.167423148,0.058769085,0.68655047,-0.842863564,-0.488935089,-0.781634643,-2.580535726,0.565009442,0.457130669,-0.212694531,1.734465091,0.034364534,-0.761258362,0.059888798
PR1,KA,Acetate,1.720234624,-0.122906764,0.085713733,0.598109221,-0.842863564,-0.548260352,-0.781634643,-2.580535726,0.565009442,0.457130669,-0.212694531,1.621486475,-0.002116133,-0.761258362,0.059888798
PAr,KA,Acetate,0.040782689,0.079138679,-0.170784031,0.446531356,-0.842863564,-0.712932431,-0.781634643,-2.580535726,0.565009442,0.457130669,-0.212694531,1.577952578,-0.014274806,-0.761258362,0.059888798
PR2,KA,Acetate,-0.954172865,0.19128093,0.005732631,0.563801237,-0.842863564,-0.70959221,-0.781634643,-2.580535726,0.565009442,0.457130669,-0.212694531,1.639875556,0.005653129,-0.761258362,0.059888798
PH,KA,Acetate,0.832340669,0.000360637,0.050227415,0.66883931,-0.842863564,-0.279961417,-0.781634643,-2.580535726,0.565009442,0.457130669,-0.212694531,1.675692322,0.010778575,-0.761258362,0.059888798
PP,KA,Acetate,1.664939966,-0.290853049,0.397380868,0.449929699,-0.842863564,0.039141285,-0.781634643,-2.580535726,0.565009442,0.457130669,-0.212694531,1.708237337,0.022892351,-0.761258362,0.059888798
PAl,LA,Acetate,-0.265463021,0,-0.824847064,0.068394371,-0.833409316,-0.995466788,-0.940965667,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.564351128,-0.250667083,-0.771000309,0.077075392
PAg2,LA,Acetate,-0.177574521,0.79212891,-0.968978489,0.068759194,-0.833409316,-0.686779466,-0.940965667,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.630904166,-0.20157447,-0.771000309,0.077075392
PAg1,LA,Acetate,-1.247690111,0,-1.02095852,0.102129843,-0.833409316,-0.727022587,-0.940965667,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.644315471,-0.222011822,-0.771000309,0.077075392
PAg3,LA,Acetate,0.092738073,0.548400284,-0.995724524,0.062816981,-0.833409316,-0.851973435,-0.940965667,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.598951558,-0.248461055,-0.771000309,0.077075392
LA,LA,Acetate,-1.077764894,-1.077764894,-0.833409316,0,-0.833409316,-0.940965667,-0.940965667,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.771000309,0.077075392,-0.771000309,0.077075392
RP2,LA,Acetate,-0.05816068,-0.354628295,-0.364223032,0.047181543,-0.833409316,-0.947123812,-0.940965667,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.792851826,0.117358038,-0.771000309,0.077075392
RP1,LA,Acetate,-0.822363418,-0.114808355,-0.161343665,0.059722211,-0.833409316,-0.960912492,-0.940965667,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.796280534,0.113226274,-0.771000309,0.077075392
SF1,LA,Acetate,-0.550910928,0.748474965,-0.832443111,0.062575071,-0.833409316,-0.835507145,-0.940965667,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.735447249,0.247141093,-0.771000309,0.077075392
PK,LA,Acetate,-1.042283004,-0.649548846,0.058769085,0.67597086,-0.833409316,-0.488935089,-0.940965667,-2.580535726,0.565009442,0.457130669,-0.212694531,1.734465091,0.034364534,-0.771000309,0.077075392
